id,group,group_title,owner,priority,name,statement,test_id,test,baseline_id,change,implemented,blueprint_sections,acceptance_status
PM-GOV-01,GOV,Kendali produk,Control,P0,Baseline fork,"Pin commit upstream, lockfile, lisensi, patch lokal, dan schema_version dalam manifest rilis.",T-PM-GOV-01,Ubah hash dependency; build rilis ditolak sampai manifest diperbarui.,PM-GOV-01,RETAINED,False,"2, 7, 15",NOT_RUN
PM-GOV-02,GOV,Kendali produk,Control,P0,Mode operasi,"Sediakan RESEARCH, PAPER, SHADOW, dan LIVE; instalasi baru selalu PAPER. Hanya LIVE dapat mengirim order.",T-PM-GOV-02,Unset atau salah ketik mode: tidak ada request order; UI menunjukkan PAPER atau konfigurasi tidak valid.,PM-GOV-02,RETAINED,False,"2, 7, 15",NOT_RUN
PM-GOV-03,GOV,Kendali produk,Control,P0,Mandat otonomi,"Aktivasi LIVE memerlukan mandat pemilik yang berisi wallet, strategi, pasar, batas modal, masa berlaku, dan versi kebijakan; tidak meminta konfirmasi setiap trade yang memenuhi mandat.",T-PM-GOV-03,"Mandat kedaluwarsa atau hash policy berubah: order baru ditolak, cancel tetap tersedia.",PM-GOV-03,RETAINED,False,"2, 7, 15",NOT_RUN
PM-GOV-04,GOV,Kendali produk,Control,P0,Kelayakan akses,Verifikasi persyaratan akun dan pembatasan geografis platform sebelum LIVE; hasil geoblock saja tidak membuktikan kelayakan pengguna.,T-PM-GOV-04,Status blocked atau kelayakan belum diketahui: LIVE tidak dapat diaktifkan; RESEARCH/PAPER tetap tersedia.,PM-GOV-04,RETAINED,False,"2, 7, 15",NOT_RUN
PM-GOV-05,GOV,Kendali produk,Control,P0,Cakupan modular,"Polyroot mendukung banyak strategi dan profil wallet/venue melalui kernel bersama. Rollout pertama satu pemilik dan satu wallet Polymarket; transfer, bridge, withdrawal, leverage/perps, token launch dan self-update bukan otonomi strategi.",T-PM-GOV-05,"Dua plugin PAPER berjalan terisolasi; plugin tidak dapat menambah venue, wallet atau capability LIVE sendiri.",PM-GOV-05,REVISED,False,"2, 7, 15",NOT_RUN
PM-DATA-01,DATA,Data dan identitas pasar,Data,P0,Identitas aset dan protokol,"Simpan asset_id bertipe, settlement_protocol, exchange_domain_version, chain, market/event/condition bila berlaku, outcome, collateral, decimals, tick, min_size, rules_hash dan protocol_profile_id. Jangan menganggap semua asset_id adalah CTF token integer.",T-PM-DATA-01,CTF token dan PolyV2 position ID diparse terpisah; profile tak dikenal menolak sign.,PM-DATA-01,REVISED,False,"4, 5.1, 6, 9",NOT_RUN
PM-DATA-02,DATA,Data dan identitas pasar,Data,P0,Aturan penyelesaian,"Simpan sumber resolusi, tenggat UTC, teks aturan dan hash versi; perubahan aturan membatalkan forecast dan intent yang belum terkirim.",T-PM-DATA-02,Ubah aturan setelah forecast: intent lama gagal RULES_CHANGED dan membutuhkan riset baru.,PM-DATA-02,RETAINED,False,"4, 5.1, 6, 9",NOT_RUN
PM-DATA-03,DATA,Data dan identitas pasar,Data,P0,Order book,"Bangun buku harga dari snapshot dan stream, simpan received_at serta source timestamp; reconnect mewajibkan sinkronisasi ulang.",T-PM-DATA-03,Putus stream dan kirim delta terlambat: eksekusi berhenti sampai snapshot serta health lulus.,PM-DATA-03,RETAINED,False,"4, 5.1, 6, 9",NOT_RUN
PM-DATA-04,DATA,Data dan identitas pasar,Data,P0,Biaya aktual,"Ambil fee settings pasar, tick, min_size, dan mode perdagangan sebelum submit; data biaya tidak diketahui harus menolak entry.",T-PM-DATA-04,Fee berubah sebelum submit: quote dihitung ulang; asumsi negRisk=fee tidak digunakan.,PM-DATA-04,RETAINED,False,"4, 5.1, 6, 9",NOT_RUN
PM-DATA-05,DATA,Data dan identitas pasar,Data,P0,Provenance berita,"Setiap EvidenceItem menyimpan URL, penerbit, waktu publikasi/ambil, hash konten, klaim, dan keterkaitan dengan pertanyaan pasar.",T-PM-DATA-05,Berita yang baru diambil setelah cutoff tidak masuk replay keputusan sebelum cutoff.,PM-DATA-05,RETAINED,False,"4, 5.1, 6, 9",NOT_RUN
PM-DATA-06,DATA,Data dan identitas pasar,Data,P0,Kualitas dan batas data,"Deteksi data stale, kontradiksi, duplikasi sindikasi, batas request, dan data yang tidak tersedia; nol berbeda dari missing.",T-PM-DATA-06,Satu berita disalin tiga situs tetap satu keluarga sumber; missing price tidak menjadi harga nol.,PM-DATA-06,RETAINED,False,"4, 5.1, 6, 9",NOT_RUN
PM-AI-01,AI,Riset dan probabilitas,Intelligence,P0,Forecast terstruktur multimodel,"Forecast memuat distribusi outcome, interval/uncertainty, evidence/counterevidence, assumptions, invalidators, valid_until, model/prompt/calibrator lineage dan abstain. Binary p_yes hanya salah satu shape.",T-PM-AI-01,Distribusi tidak ternormalisasi atau provenance hilang ditolak; valid multinomial tidak dipaksa biner.,PM-AI-01,REVISED,False,"6.2, 7, 10, 13",NOT_RUN
PM-AI-02,AI,Riset dan probabilitas,Intelligence,P0,Provider portabel,Dukung Anthropic dan endpoint kompatibel OpenAI melalui adapter yang diuji; model ID/config dipin per eksperimen; fallback tercatat.,T-PM-AI-02,Endpoint base URL dengan /v1 tidak menghasilkan /v1/v1; tool/result dan usage diuji per provider.,PM-AI-02,RETAINED,False,"6.2, 7, 10, 13",NOT_RUN
PM-AI-03,AI,Riset dan probabilitas,Intelligence,P0,Kualitas probabilitas,"Pisahkan probabilitas mentah, terkalibrasi, dan skenario konservatif; confidence verbal LLM tidak dipakai sebagai ukuran posisi.",T-PM-AI-03,"Model berubah: skor evaluasi dipisah, calibrator lama tidak otomatis dipakai.",PM-AI-03,RETAINED,False,"6.2, 7, 10, 13",NOT_RUN
PM-AI-04,AI,Riset dan probabilitas,Intelligence,P0,Batas sumber tak tepercaya,"Konten web diperlakukan sebagai data, tidak dapat mengubah mandat, menjalankan shell, membaca secret, atau memanggil signer.",T-PM-AI-04,Dokumen berisi instruksi transfer dan bocorkan key gagal memicu tool atau perubahan policy.,PM-AI-04,RETAINED,False,"6.2, 7, 10, 13",NOT_RUN
PM-AI-05,AI,Riset dan probabilitas,Intelligence,P0,Anggaran riset,"Batasi token, biaya, durasi, jumlah sumber, dan concurrency; kehabisan budget menghasilkan abstain serta tetap menjalankan monitoring posisi.",T-PM-AI-05,"Quota LLM habis: tak ada entry baru dari forecast kedaluwarsa, rekonsiliasi dan cancel tetap hidup.",PM-AI-05,RETAINED,False,"6.2, 7, 10, 13",NOT_RUN
PM-AI-06,AI,Riset dan probabilitas,Intelligence,P1,Memori dan penjelasan,"Simpan ringkasan bukti dan keputusan untuk pengguna, bukan mengandalkan percakapan sebagai ledger; semua versi dapat ditelusuri.",T-PM-AI-06,"Pengguna membuka trade historis dan menemukan input snapshot, sumber, policy, serta alasan keputusan yang sama.",PM-AI-06,RETAINED,False,"6.2, 7, 10, 13",NOT_RUN
PM-STR-01,STR,Strategi dan seleksi,Strategy,P0,Katalog strategi modular,"evidence_directional_v1 adalah kandidat awal; registry juga mendefinisikan structural, participant-follow, weather, market-making/LP, momentum/expiry dan latency. Eligibility berlaku per versi strategi dan protocol profile.",T-PM-STR-01,Memasang strategi baru tidak mengubah mandat atau eligibility strategi lain.,PM-STR-01,REVISED,False,"7, 8, 13",NOT_RUN
PM-STR-02,STR,Strategi dan seleksi,Strategy,P0,Edge setelah biaya,"Hitung expected value dari probabilitas konservatif, executable price/depth, net shares, fees, serta biaya operasi; abstain bila edge tidak melampaui buffer.",T-PM-STR-02,Peluang positif sebelum biaya tetapi negatif setelah biaya menghasilkan NO_TRADE.,PM-STR-02,RETAINED,False,"7, 8, 13",NOT_RUN
PM-STR-03,STR,Strategi dan seleksi,Strategy,P0,Versi eksperimen,"Setiap parameter dan strategi mempunyai versi immutable, periode evaluasi, dan benchmark yang ditetapkan sebelum pengujian.",T-PM-STR-03,Mengubah threshold saat holdout berlangsung membuat experiment_id baru dan tidak menimpa hasil lama.,PM-STR-03,RETAINED,False,"7, 8, 13",NOT_RUN
PM-STR-04,STR,Strategi dan seleksi,Strategy,P1,SDK strategi,"Kontrak snapshot→Proposal mendukung semua keluarga strategi di proses sandbox, dengan declared data dependencies, budgets, schema dan lifecycle gates.",T-PM-STR-04,"Strategi yang lolos schema tetap tidak memiliki filesystem host, secrets, signing atau jaringan bebas.",PM-STR-04,REVISED,False,"7, 8, 13",NOT_RUN
PM-RISK-01,RISK,Modal dan pengendalian risiko,Risk,P0,Batas eksposur,"Batasi notional per order, per market, kelompok event berkorelasi, dan seluruh portfolio; hitung posisi plus open order plus reservasi.",T-PM-RISK-01,Dua intent paralel yang bersama melewati batas: paling banyak satu lolos reservasi.,PM-RISK-01,RETAINED,False,"8, 9, 11",NOT_RUN
PM-RISK-02,RISK,Modal dan pengendalian risiko,Risk,P0,Reservasi atomik,Risk check dan reservasi kas/shares/policy_version ditulis atomik; reservasi tidak dilepas selama status submit belum diketahui.,T-PM-RISK-02,Timeout submit lalu retry worker tidak menciptakan kapasitas kas semu atau order ganda.,PM-RISK-02,RETAINED,False,"8, 9, 11",NOT_RUN
PM-RISK-03,RISK,Modal dan pengendalian risiko,Risk,P0,Batas kerugian,Gunakan equity konservatif yang disesuaikan deposit/withdrawal; breach harian/drawdown bertahan setelah restart sampai prosedur resume.,T-PM-RISK-03,Deposit tidak menghapus kerugian; restart tidak menghapus breach yang tersimpan.,PM-RISK-03,RETAINED,False,"8, 9, 11",NOT_RUN
PM-RISK-04,RISK,Modal dan pengendalian risiko,Risk,P0,Likuiditas dan ukuran,"Harga/tick/min_size/depth/slippage harus lulus; quantity dibulatkan ke bawah. Jika minimum bursa melanggar batas modal, abstain.",T-PM-RISK-04,Ukuran aman di bawah min_size tidak dinaikkan otomatis agar order terkirim.,PM-RISK-04,RETAINED,False,"8, 9, 11",NOT_RUN
PM-RISK-05,RISK,Modal dan pengendalian risiko,Risk,P0,Kill switch,PAUSE_ENTRIES menolak entry; CANCEL_OPEN membatalkan order; FLATTEN adalah aksi terpisah dengan batas harga dan posisi aktual.,T-PM-RISK-05,Kill switch memblokir intent antre dan worker baru; kegagalan cancel terlihat dan tidak dilaporkan berhasil.,PM-RISK-05,RETAINED,False,"8, 9, 11",NOT_RUN
PM-RISK-06,RISK,Modal dan pengendalian risiko,Risk,P0,Jalur pengurangan risiko,SELL hanya memakai shares terverifikasi dan reservasi; tidak membuka short atau menganggap reduce-only native tersedia.,T-PM-RISK-06,SELL melebihi shares bebas ditolak; cancel yang belum pasti tidak membebaskan shares.,PM-RISK-06,RETAINED,False,"8, 9, 11",NOT_RUN
