id,change,current_name,test_id,status
PM-GOV-01,RETAINED,Baseline fork,T-PM-GOV-01,SPECIFIED_NOT_IMPLEMENTED
PM-GOV-02,RETAINED,Mode operasi,T-PM-GOV-02,SPECIFIED_NOT_IMPLEMENTED
PM-GOV-03,RETAINED,Mandat otonomi,T-PM-GOV-03,SPECIFIED_NOT_IMPLEMENTED
PM-GOV-04,RETAINED,Kelayakan akses,T-PM-GOV-04,SPECIFIED_NOT_IMPLEMENTED
PM-GOV-05,REVISED,Cakupan modular,T-PM-GOV-05,SPECIFIED_NOT_IMPLEMENTED
PM-DATA-01,REVISED,Identitas aset dan protokol,T-PM-DATA-01,SPECIFIED_NOT_IMPLEMENTED
PM-DATA-02,RETAINED,Aturan penyelesaian,T-PM-DATA-02,SPECIFIED_NOT_IMPLEMENTED
PM-DATA-03,RETAINED,Order book,T-PM-DATA-03,SPECIFIED_NOT_IMPLEMENTED
PM-DATA-04,RETAINED,Biaya aktual,T-PM-DATA-04,SPECIFIED_NOT_IMPLEMENTED
PM-DATA-05,RETAINED,Provenance berita,T-PM-DATA-05,SPECIFIED_NOT_IMPLEMENTED
PM-DATA-06,RETAINED,Kualitas dan batas data,T-PM-DATA-06,SPECIFIED_NOT_IMPLEMENTED
PM-AI-01,REVISED,Forecast terstruktur multimodel,T-PM-AI-01,SPECIFIED_NOT_IMPLEMENTED
PM-AI-02,RETAINED,Provider portabel,T-PM-AI-02,SPECIFIED_NOT_IMPLEMENTED
PM-AI-03,RETAINED,Kualitas probabilitas,T-PM-AI-03,SPECIFIED_NOT_IMPLEMENTED
PM-AI-04,RETAINED,Batas sumber tak tepercaya,T-PM-AI-04,SPECIFIED_NOT_IMPLEMENTED
PM-AI-05,RETAINED,Anggaran riset,T-PM-AI-05,SPECIFIED_NOT_IMPLEMENTED
PM-AI-06,RETAINED,Memori dan penjelasan,T-PM-AI-06,SPECIFIED_NOT_IMPLEMENTED
PM-STR-01,REVISED,Katalog strategi modular,T-PM-STR-01,SPECIFIED_NOT_IMPLEMENTED
PM-STR-02,RETAINED,Edge setelah biaya,T-PM-STR-02,SPECIFIED_NOT_IMPLEMENTED
PM-STR-03,RETAINED,Versi eksperimen,T-PM-STR-03,SPECIFIED_NOT_IMPLEMENTED
PM-STR-04,REVISED,SDK strategi,T-PM-STR-04,SPECIFIED_NOT_IMPLEMENTED
PM-RISK-01,RETAINED,Batas eksposur,T-PM-RISK-01,SPECIFIED_NOT_IMPLEMENTED
PM-RISK-02,RETAINED,Reservasi atomik,T-PM-RISK-02,SPECIFIED_NOT_IMPLEMENTED
