package,upstream_range,upstream_group,disposition,target,rationale,production_admitted
@anthropic-ai/sdk,^0.78.0,dependencies,ADAPT,intelligence only,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@anthropic-ai/tokenizer,^0.0.4,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@coral-xyz/anchor,^0.32.1,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@drift-labs/sdk,^2.156.0,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@hapi/boom,^10.0.1,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@jup-ag/api,^6.0.48,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@jup-ag/dca-sdk,^3.0.1,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@jup-ag/limit-order-sdk,^0.1.10,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@kamino-finance/klend-sdk,^2.13.10,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@kamino-finance/kliquidity-sdk,^6.5.1,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@meteora-ag/dlmm,^1.9.3,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@meteora-ag/dynamic-bonding-curve-sdk,^1.5.3,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@noble/ed25519,^2.3.0,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@noble/hashes,^1.8.0,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@noble/secp256k1,^3.0.0,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@orca-so/whirlpool-sdk,^0.4.2,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@orca-so/whirlpools,^6.0.0,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@orca-so/whirlpools-client,^6.0.0,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@orca-so/whirlpools-core,^3.0.0,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
