audit_no,title,verdict,requirements,design,disposition,acceptance_ids,closure
1,Produk modular,CONFIRMED,"[""PM-GOV-05"", ""PM-STR-01"", ""PM-INTEL-01""]",PRD 1–5; Blueprint 2,Scope final diperluas; rollout eligibility tetap terpisah.,"[""T-PM-GOV-05"", ""T-PM-STR-01"", ""T-PM-INTEL-01""]",DESIGN_ADDRESSED_IMPLEMENTATION_OPEN
2,Fork mapping,CONFIRMED,"[""PM-FORK-01"", ""PM-FORK-02""]",Blueprint 3; Fork_Disposition_Matrix,"827 blobs terverifikasi. Semua memiliki disposition; review semantik targeted, bukan audit semua baris.","[""T-PM-FORK-01"", ""T-PM-FORK-02""]",DESIGN_ADDRESSED_IMPLEMENTATION_OPEN
3,CLOB V2 dan SDK,CONFIRMED_WITH_UPDATE,"[""PM-PROTO-01"", ""PM-PROTO-02"", ""PM-EXE-02""]",Blueprint 4,"Apr 28 migration benar; current migration mengarahkan ke unified @polymarket/client, sehingga pemilihan nama v2 saja tidak cukup.","[""T-PM-PROTO-01"", ""T-PM-PROTO-02"", ""T-PM-EXE-02""]",DESIGN_ADDRESSED_IMPLEMENTATION_OPEN
4,POLY_1271,CONFIRMED,"[""PM-WALLET-01"", ""PM-SEC-01""]",Blueprint 5,Upstream manual signer sengaja throw; jalur default fresh install harus dilengkapi.,"[""T-PM-WALLET-01"", ""T-PM-SEC-01""]",DESIGN_ADDRESSED_IMPLEMENTATION_OPEN
5,Deposit Wallet dan relayer,CONFIRMED,"[""PM-WALLET-02"", ""PM-WALLET-03"", ""PM-WALLET-04""]",Blueprint 5,"Wallet setup, transaction lifecycle dan approvals dari funder/account yang benar.","[""T-PM-WALLET-02"", ""T-PM-WALLET-03"", ""T-PM-WALLET-04""]",DESIGN_ADDRESSED_IMPLEMENTATION_OPEN
6,Model aset,CONFIRMED,"[""PM-WALLET-09"", ""PM-DATA-01""]",Blueprint 5 dan 11,pUSD collateral berbeda dari sumber funding; current SDK juga mengenalkan assetId PolyV2.,"[""T-PM-WALLET-09"", ""T-PM-DATA-01""]",DESIGN_ADDRESSED_IMPLEMENTATION_OPEN
7,Venue modes,CONFIRMED_WITH_QUALIFICATION,"[""PM-VENUE-01"", ""PM-VENUE-02"", ""PM-VENUE-03""]",Blueprint 9,425 restart dapat membuat cancel unavailable; tidak mengasumsikan restart selalu cancel-only lalu post-only.,"[""T-PM-VENUE-01"", ""T-PM-VENUE-02"", ""T-PM-VENUE-03""]",DESIGN_ADDRESSED_IMPLEMENTATION_OPEN
8,Ekonomi maker taker,CONFIRMED_WITH_QUALIFICATION,"[""PM-ECON-01"", ""PM-ECON-02"", ""PM-ECON-03"", ""PM-ECON-04""]",Blueprint 8,Rebate ditambah sesuai status; jangan double count spread/slippage yang sudah termasuk executable price.,"[""T-PM-ECON-01"", ""T-PM-ECON-02"", ""T-PM-ECON-03"", ""T-PM-ECON-04""]",DESIGN_ADDRESSED_IMPLEMENTATION_OPEN
9,Multi-signal intelligence,CONFIRMED,"[""PM-INTEL-01"", ""PM-INTEL-04"", ""PM-INTEL-05"", ""PM-INTEL-06""]",Blueprint 6,LLM hanya satu evidence synthesizer; strategi numerik tanpa LLM didukung.,"[""T-PM-INTEL-01"", ""T-PM-INTEL-04"", ""T-PM-INTEL-05"", ""T-PM-INTEL-06""]",DESIGN_ADDRESSED_IMPLEMENTATION_OPEN
10,Market Graph,CONFIRMED,"[""PM-GRAPH-01"", ""PM-GRAPH-02"", ""PM-GRAPH-06""]",Blueprint 6,Upstream links/correlation/combinatorial ada; direuse selektif dengan proof layer baru.,"[""T-PM-GRAPH-01"", ""T-PM-GRAPH-02"", ""T-PM-GRAPH-06""]",DESIGN_ADDRESSED_IMPLEMENTATION_OPEN
